week,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,oem_chinese_oem_k,oem_us_oem_k,oem_german_oem_k,oem_korean_oem_k,oem_japanese_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_cells_wk,stock_harness_wk,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
70,13.77088489749541,207.25776076330158,295.46333743439584,61024.08174106023,0.7546259102898605,124.35465645798094,26.943508899229204,24.87093129159619,16.580620861064126,14.508043253431111,16.0,24.0,3.605679765030178,7.998885533020568,11.997154345795149,3.1807669733647623,8.0,207.25776076330158,269.20211852177096,269.20001585374274,269.2307692307692,china_graphite
71,14.24936907141734,214.09008474570513,319.5139004115714,65413.820207353405,0.7469167902987386,128.45405084742308,27.83171101694167,25.690810169484617,17.12720677965641,14.986305932199363,16.0,24.0,3.704391398716621,7.998885480165633,11.997146771247882,3.2871731148476497,8.0,214.09008474570516,269.2020390681241,269.20001422854835,269.2307692307692,china_graphite
72,14.63946985454357,221.25203657628413,346.0924427355335,70171.23745610596,0.7410045837919459,132.75122194577048,28.762764754916937,26.550244389154095,17.70016292610273,15.487642560339891,16.0,24.0,3.7784287260699685,7.998885432728949,11.997139480778605,3.391662381610186,8.0,221.25203657628413,269.2019625943296,269.20001276995544,269.2307692307692,china_graphite
73,14.932059677064972,228.28496799299327,375.32423699241457,75335.86811449709,0.7367729674178446,136.97098079579595,29.677045839089125,27.394196159159193,18.262797439439463,15.97994775950953,16.0,24.0,3.8339594232828103,7.99888539015508,11.997132463733173,3.4885461296099494,8.0,228.28496799299327,269.2018889886302,269.20001146088543,269.2307692307692,china_graphite
74,15.15151272085803,234.80598949297735,407.37286656817554,80949.58396816645,0.7337063756296736,140.8835936957864,30.524778634087056,28.17671873915728,18.784479159438188,16.436419264508416,16.0,24.0,3.8756094725644017,7.998885351945533,11.997125709857022,3.575099016239947,8.0,234.80598949297735,269.20181814345995,269.2000102860104,269.2307692307692,china_graphite
75,15.316110511768933,240.6316645546118,442.43440933234126,87056.9916490918,0.7314640073503573,144.3789987327671,31.282116392099535,28.875799746553415,19.250533164368946,16.84421651882283,16.0,24.0,3.906848529378511,7.99888531765291,11.997119209280175,3.6504330960889804,8.0,240.6316645546118,269.20174995528726,269.20000923157386,269.2307692307692,china_graphite
76,15.439564861293922,245.70222762137368,480.73473282724007,93705.81552433495,0.7298135401908059,147.4213365728242,31.94128959077858,29.48426731456484,19.656178209709896,17.199155933496158,16.0,24.0,3.93027896193424,7.998885286875684,11.997112952502823,3.7147496109478855,8.0,245.70222762137368,269.2016843244633,269.20000828522933,269.2307692307692,china_graphite
77,15.5321601284132,250.03122381379995,522.5285730050181,100947.2888420416,0.7285928608944581,150.01873428827997,32.504059095794,30.003746857655997,20.002497905104,17.502185666966,16.0,24.0,3.947852641351495,7.998885259253483,11.997106930381438,3.7688500088317016,8.0,250.03122381379998,269.20162115507657,269.2000074358963,269.2307692307692,china_graphite
78,15.601609957648696,253.67259674828762,568.0997204282942,108836.56347639624,0.7276868277989185,152.20355804897255,32.97743757727739,30.440711609794512,20.29380773986301,17.757081772380136,16.0,24.0,3.96103354219598,7.9988852344628825,11.997101134115418,3.813823350294334,8.0,253.67259674828762,269.2015603548126,269.2000066736298,269.2307692307692,china_graphite
79,15.653699863870653,256.69964857750324,617.7619540247259,117433.14365658964,0.7270125572331396,154.01978914650195,33.37095431507542,30.803957829300387,20.535971886200258,17.96897540042523,16.0,24.0,3.970919698813902,7.998885212213608,11.997095555234218,3.85085247694653,8.0,256.69964857750324,269.2015018348191,269.2000059895046,269.2307692307692,china_graphite
80,15.692769194351094,259.19199364063184,671.8605252926559,126801.3473367534,0.7265097780216674,155.5151961843791,33.69495917328214,31.10303923687582,20.73535949125055,18.14343955484423,16.0,24.0,3.978334677033314,7.998885192245146,11.997090185584975,3.8810991036161067,8.0,259.19199364063184,269.2014455095763,269.20000537551016,269.2307692307692,china_graphite
81,15.72207261789127,261.2278242818533,730.7740841313671,137010.79847500147,0.7261343253219006,156.736694569112,33.95961715664093,31.347338913822398,20.898225942548265,18.285947699729732,16.0,24.0,3.9838961812780154,7.998885174323684,11.997085017320593,3.905640490873949,8.0,261.2278242818533,269.20139129677136,269.2000048244574,269.2307692307692,china_graphite
82,15.744051254858311,262.8796484242081,794.916987635818,148136.9536352024,0.7258536490211338,157.72778905452483,34.174354295147054,31.54555781090497,21.030371873936648,18.401575389694568,16.0,24.0,3.988067512406522,7.998885158239382,11.997080042888278,3.925439092541077,8.0,262.8796484242081,269.2013391171791,269.200004329894,269.2307692307692,china_graphite
